# MRF sequence pattern
# created: 2017-07-28T14:05:39.749000
# type: jiang
# length: 500
# inv_delay (ms): 15.0
# min FA (ms): 0.0
# max FA (ms): 60.0
# min TR (ms): 15.0
# max TR (ms): 15.0
# min TE (ms): 6.0
# max TE (ms): 6.0
# repetition_delay (ms): 6000.0
# n_dummies: 0
# FA (deg), TR (ms), phase (deg), TE (ms)
5.70140078637,15.0,0.0,6.0
6.32323368565,15.0,0.0,6.0
6.99543172574,15.0,0.0,6.0
7.71594993055,15.0,0.0,6.0
8.48261741591,15.0,0.0,6.0
9.29312155921,15.0,0.0,6.0
10.1449890096,15.0,0.0,6.0
11.0355652607,15.0,0.0,6.0
11.9619944741,15.0,0.0,6.0
12.9212011155,15.0,0.0,6.0
13.909874775,15.0,0.0,6.0
14.9244592989,15.0,0.0,6.0
15.9611471012,15.0,0.0,6.0
17.0158792589,15.0,0.0,6.0
18.0843517453,15.0,0.0,6.0
19.1620279381,15.0,0.0,6.0
20.2441573503,15.0,0.0,6.0
21.3258003839,15.0,0.0,6.0
22.4018587845,15.0,0.0,6.0
23.4671113821,15.0,0.0,6.0
24.516254623,15.0,0.0,6.0
25.5439473228,15.0,0.0,6.0
26.544858998,15.0,0.0,6.0
27.5137210502,15.0,0.0,6.0
28.4453799887,15.0,0.0,6.0
29.334851783,15.0,0.0,6.0
30.1773763421,15.0,0.0,6.0
30.9684710333,15.0,0.0,6.0
31.7039820851,15.0,0.0,6.0
32.3801326862,15.0,0.0,6.0
32.9935665894,15.0,0.0,6.0
33.5413860813,15.0,0.0,6.0
34.0211832728,15.0,0.0,6.0
34.4310638153,15.0,0.0,6.0
34.7696623372,15.0,0.0,6.0
35.0361491288,15.0,0.0,6.0
35.2302278611,15.0,0.0,6.0
35.3521243947,15.0,0.0,6.0
35.4025670081,15.0,0.0,6.0
35.3827586274,15.0,0.0,6.0
35.2943418687,15.0,0.0,6.0
35.1393578897,15.0,0.0,6.0
34.9202001889,15.0,0.0,6.0
34.6395645848,15.0,0.0,6.0
34.300396648,15.0,0.0,6.0
33.9058378685,15.0,0.0,6.0
33.4591718043,15.0,0.0,6.0
32.963771409,15.0,0.0,6.0
32.4230486672,15.0,0.0,6.0
31.8404075982,15.0,0.0,6.0
31.2192016163,15.0,0.0,6.0
30.5626961694,15.0,0.0,6.0
29.8740375041,15.0,0.0,6.0
29.1562283205,15.0,0.0,6.0
28.4121109725,15.0,0.0,6.0
27.64435872,15.0,0.0,6.0
26.8554753433,15.0,0.0,6.0
26.0478031749,15.0,0.0,6.0
25.2235392918,15.0,0.0,6.0
24.3847592478,15.0,0.0,6.0
23.5334473329,15.0,0.0,6.0
22.6715319487,15.0,0.0,6.0
21.8009243211,15.0,0.0,6.0
20.9235584681,15.0,0.0,6.0
20.0414301463,15.0,0.0,6.0
19.1566324303,15.0,0.0,6.0
18.2713856678,15.0,0.0,6.0
17.3880597984,15.0,0.0,6.0
16.509187416,15.0,0.0,6.0
15.6374664674,15.0,0.0,6.0
14.775752078,15.0,0.0,6.0
13.927037623,15.0,0.0,6.0
13.094425774,15.0,0.0,6.0
12.2810907904,15.0,0.0,6.0
11.4902337566,15.0,0.0,6.0
10.7250327519,15.0,0.0,6.0
9.98859007444,15.0,0.0,6.0
9.28387862412,15.0,0.0,6.0
8.61368939549,15.0,0.0,6.0
7.98058178057,15.0,0.0,6.0
7.38683806112,15.0,0.0,6.0
6.83442312592,15.0,0.0,6.0
6.32495011393,15.0,0.0,6.0
5.85965238913,15.0,0.0,6.0
5.4393620141,15.0,0.0,6.0
5.06449471528,15.0,0.0,6.0
4.73504121864,15.0,0.0,6.0
4.45056476926,15.0,0.0,6.0
4.21020461588,15.0,0.0,6.0
4.01268522331,15.0,0.0,6.0
3.85633095723,15.0,0.0,6.0
3.73908595659,15.0,0.0,6.0
3.65853886322,15.0,0.0,6.0
3.61195201915,15.0,0.0,6.0
3.59629467549,15.0,0.0,6.0
3.60827969349,15.0,0.0,6.0
3.6444031683,15.0,0.0,6.0
3.70098638069,15.0,0.0,6.0
3.77421948523,15.0,0.0,6.0
3.86020637876,15.0,0.0,6.0
3.9550102549,15.0,0.0,6.0
4.05469943117,15.0,0.0,6.0
4.1553931218,15.0,0.0,6.0
4.25330690802,15.0,0.0,6.0
4.34479771317,15.0,0.0,6.0
4.42640811118,15.0,0.0,6.0
4.49490977543,15.0,0.0,6.0
4.5473458079,15.0,0.0,6.0
4.58107158055,15.0,0.0,6.0
4.59379358056,15.0,0.0,6.0
