# MRF sequence pattern
# created: 2017-07-28T14:08:17.909000
# type: jiang
# length: 1000
# inv_delay (ms): 20.0
# min FA (ms): 0.0
# max FA (ms): 70.0
# min TR (ms): 16.0
# max TR (ms): 16.0
# min TE (ms): 5.5
# max TE (ms): 5.5
# repetition_delay (ms): 6000.0
# n_dummies: 0
# FA (deg), TR (ms), phase (deg), TE (ms)
5.94,16.0,0.0,5.5
6.41,16.0,180.0,5.5
6.88,16.0,0.0,5.5
7.35,16.0,180.0,5.5
7.82,16.0,0.0,5.5
8.29,16.0,180.0,5.5
8.76,16.0,0.0,5.5
9.23,16.0,180.0,5.5
9.69,16.0,0.0,5.5
10.16,16.0,180.0,5.5
10.62,16.0,0.0,5.5
11.08,16.0,180.0,5.5
11.54,16.0,0.0,5.5
12.0,16.0,180.0,5.5
12.46,16.0,0.0,5.5
12.92,16.0,180.0,5.5
13.37,16.0,0.0,5.5
13.82,16.0,180.0,5.5
14.27,16.0,0.0,5.5
14.72,16.0,180.0,5.5
15.16,16.0,0.0,5.5
15.6,16.0,180.0,5.5
16.04,16.0,0.0,5.5
16.48,16.0,180.0,5.5
16.91,16.0,0.0,5.5
17.35,16.0,180.0,5.5
17.77,16.0,0.0,5.5
18.2,16.0,180.0,5.5
18.62,16.0,0.0,5.5
19.04,16.0,180.0,5.5
19.45,16.0,0.0,5.5
19.86,16.0,180.0,5.5
20.27,16.0,0.0,5.5
20.67,16.0,180.0,5.5
21.07,16.0,0.0,5.5
21.47,16.0,180.0,5.5
21.86,16.0,0.0,5.5
22.25,16.0,180.0,5.5
22.63,16.0,0.0,5.5
23.01,16.0,180.0,5.5
23.39,16.0,0.0,5.5
23.76,16.0,180.0,5.5
24.12,16.0,0.0,5.5
24.48,16.0,180.0,5.5
24.84,16.0,0.0,5.5
25.19,16.0,180.0,5.5
25.54,16.0,0.0,5.5
25.88,16.0,180.0,5.5
26.21,16.0,0.0,5.5
26.54,16.0,180.0,5.5
26.87,16.0,0.0,5.5
27.19,16.0,180.0,5.5
27.5,16.0,0.0,5.5
27.81,16.0,180.0,5.5
28.12,16.0,0.0,5.5
28.41,16.0,180.0,5.5
28.7,16.0,0.0,5.5
28.99,16.0,180.0,5.5
29.27,16.0,0.0,5.5
29.54,16.0,180.0,5.5
29.81,16.0,0.0,5.5
30.07,16.0,180.0,5.5
30.33,16.0,0.0,5.5
30.58,16.0,180.0,5.5
30.82,16.0,0.0,5.5
31.06,16.0,180.0,5.5
31.29,16.0,0.0,5.5
31.51,16.0,180.0,5.5
31.73,16.0,0.0,5.5
31.94,16.0,180.0,5.5
32.14,16.0,0.0,5.5
32.34,16.0,180.0,5.5
32.53,16.0,0.0,5.5
32.72,16.0,180.0,5.5
32.89,16.0,0.0,5.5
33.06,16.0,180.0,5.5
33.23,16.0,0.0,5.5
33.38,16.0,180.0,5.5
33.53,16.0,0.0,5.5
33.67,16.0,180.0,5.5
33.81,16.0,0.0,5.5
33.94,16.0,180.0,5.5
34.06,16.0,0.0,5.5
34.17,16.0,180.0,5.5
34.28,16.0,0.0,5.5
34.38,16.0,180.0,5.5
34.47,16.0,0.0,5.5
34.55,16.0,180.0,5.5
34.63,16.0,0.0,5.5
34.7,16.0,180.0,5.5
34.76,16.0,0.0,5.5
34.82,16.0,180.0,5.5
34.87,16.0,0.0,5.5
34.91,16.0,180.0,5.5
34.94,16.0,0.0,5.5
34.97,16.0,180.0,5.5
34.99,16.0,0.0,5.5
35.0,16.0,180.0,5.5
35.0,16.0,0.0,5.5
35.0,16.0,180.0,5.5
34.99,16.0,0.0,5.5
34.97,16.0,180.0,5.5
34.94,16.0,0.0,5.5
34.91,16.0,180.0,5.5
34.87,16.0,0.0,5.5
34.82,16.0,180.0,5.5
34.76,16.0,0.0,5.5
34.7,16.0,180.0,5.5
34.63,16.0,0.0,5.5
34.55,16.0,180.0,5.5
34.47,16.0,0.0,5.5
34.38,16.0,180.0,5.5
34.28,16.0,0.0,5.5
34.17,16.0,180.0,5.5
34.06,16.0,0.0,5.5
33.94,16.0,180.0,5.5
33.81,16.0,0.0,5.5
33.67,16.0,180.0,5.5
33.53,16.0,0.0,5.5
33.38,16.0,180.0,5.5
33.23,16.0,0.0,5.5
33.06,16.0,180.0,5.5
32.89,16.0,0.0,5.5
32.72,16.0,180.0,5.5
32.53,16.0,0.0,5.5
32.34,16.0,180.0,5.5
32.14,16.0,0.0,5.5
31.94,16.0,180.0,5.5
31.73,16.0,0.0,5.5
31.51,16.0,180.0,5.5
31.29,16.0,0.0,5.5
31.06,16.0,180.0,5.5
30.82,16.0,0.0,5.5
30.58,16.0,180.0,5.5
30.33,16.0,0.0,5.5
30.07,16.0,180.0,5.5
29.81,16.0,0.0,5.5
29.54,16.0,180.0,5.5
29.27,16.0,0.0,5.5
28.99,16.0,180.0,5.5
28.7,16.0,0.0,5.5
28.41,16.0,180.0,5.5
28.12,16.0,0.0,5.5
27.81,16.0,180.0,5.5
27.5,16.0,0.0,5.5
27.19,16.0,180.0,5.5
26.87,16.0,0.0,5.5
26.54,16.0,180.0,5.5
26.21,16.0,0.0,5.5
25.88,16.0,180.0,5.5
25.54,16.0,0.0,5.5
25.19,16.0,180.0,5.5
24.84,16.0,0.0,5.5
24.48,16.0,180.0,5.5
