flip_angle_(fraction_of_nominal),rf_phase_(deg),extension_of_base_TR_(ms),extension_of_base_TE_(ms)
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
1.000000,0.000000,0.00,0.00
